Title,Abstract
"['driver', 'license', 'process', 'land', 'transportation', 'office']","['driver', 'license', 'process', 'studied', 'understand', 'process', 'driver', 'license', 'done', 'student', 'permit', 'nonprofessional', 'professional', 'license', 'renewal', 'license', 'transaction', 'studied', 'sampling', 'used', 'methodology', 'consist', 'gathering', 'analysis', 'total', 'based', 'analysis', 'gathered', 'presented', 'graph', 'table', 'conducted', 'survey', 'tell', 'researcher', 'need', 'improvement', 'keywords', 'land', 'transportation', 'office', 'student', 'permit', 'renewal', 'non', 'professional', 'professional', 'driver', 'license']"
"['poultry', 'egg', 'production', 'business']","['poultry', 'egg', 'production', 'business', 'studied', 'help', 'egg', 'producer', 'business', 'process', 'especially', 'financial', 'aspect', 'feature', 'blueprint', 'decision', 'support', 'system', 'include', 'technical', 'financial', 'management', 'socio', 'economic', 'aspect', 'context', 'diagram', 'blueprint', 'system', 'iterative', 'life', 'cycle', 'model', 'used', 'methodology', 'consists', 'gathering', 'analysis', 'design', 'market', 'survey', 'total', 'based', 'analysis', 'gathered', 'setting', 'poultry', 'egg', 'production', 'business', 'design', 'decision', 'support', 'system', 'positive', 'current', 'manual', 'system', 'industry', 'must', 'upgraded', 'meet', 'demand', 'growing', 'business', 'market']"
"['design', 'development', 'fire', 'detection', 'alarm', 'system', 'prototype', 'based', 'wireless', 'sensor', 'network']","['fire', 'detection', 'alarm', 'system', 'prototype', 'based', 'wireless', 'sensor', 'network', 'advanced', 'technology', 'monitoring', 'system', 'detects', 'fire', 'uhf', 'transceiver', 'transmit', 'message', 'sensor', 'server', 'temperature', 'sensor', 'lm', 'smoke', 'sensor', 'used', 'detecting', 'fire', 'would', 'sound', 'alarm', 'fire', 'detected', 'sensor', 'using', 'gizduino', 'mini', 'plus', 'microcontroller', 'message', 'interpreted', 'using', 'uhf', 'transceiver', 'transmitted', 'server', 'base', 'station', 'pas', 'information', 'node', 'server', 'monitoring', 'station', 'placed', 'near', 'security', 'guard', 'researcher', 'also', 'used', 'gsmgprs', 'shield', 'purpose', 'gsmgprs', 'shield', 'inform', 'personnel', 'charge', 'building', 'would', 'receive', 'text', 'message', 'using', 'gsm', 'raspberry', 'pi', 'b', 'size', 'credit', 'card', 'bit', 'arm', 'processor', 'used', 'collect', 'three', 'node', 'gizduino', 'mini', 'plus', 'microcontroller', 'interpreted', 'raspberry', 'pi', 'displayed', 'output', 'using', 'lcd', 'monitor', 'also', 'indicated', 'lcd', 'monitor', 'node', 'detected', 'fire', 'keywords', 'uhf', 'transceiver', 'raspberry', 'pi']"
"['knowledgebased', 'system', 'n', 'matching', 'tree', 'plant', 'legume', 'mineralbearing', 'site']","['knowledgebased', 'system', 'matching', 'tree', 'plant', 'legume', 'mineralbearing', 'site', 'webbased', 'expert', 'system', 'designed', 'find', 'suitable', 'specie', 'reclamation', 'mining', 'wasteland', 'system', 'capable', 'recommending', 'specie', 'would', 'help', 'restorationrehabilitation', 'particular', 'site', 'based', 'biophysical', 'characteristic', 'altitude', 'temperature', 'rainfall', 'soil', 'texturetypecharacteristics', 'soil', 'ph', 'selected', 'specie', 'used', 'based', 'compendium', 'mining', 'volcanic', 'debrisladen', 'area', 'department', 'environment', 'natural', 'resource', 'denr', 'developed', 'serve', 'sound', 'thorough', 'basis', 'selection', 'appropriate', 'effective', 'efficient', 'strategy', 'restoration', 'damaged', 'mining', 'volcanic', 'ashladen', 'area', 'country', 'though', 'handle', 'complex', 'application', 'simple', 'enough', 'end', 'user', 'run', 'program', 'perform', 'sensitivity', 'analysis', 'minimum', 'training', 'time', 'system', 'display', 'customized', 'screen', 'allows', 'interface', 'call', 'external', 'program', 'explanation', 'facility', 'assist', 'system', 'user', 'term', 'usability', 'impact', 'assessment', 'system', 'acceptable', 'perceived', 'respondent', 'software', 'testing', 'evaluation', 'find', 'useful', 'easy', 'use', 'gained', 'grand', 'mean', 'indicates', 'excellent', 'verbal', 'interpretation', 'keywords', 'knowledgebased', 'system', 'formulation', 'model', 'design', 'system', 'testing']"
"['design', 'development', 'memorandum', 'prioritization', 'system', 'ds', 'tool', 'sangguniang', 'panlalawigan', 'management']","['memorandum', 'mean', 'interoffice', 'correspondence', 'large', 'organization', 'memorandum', 'sent', 'head', 'office', 'regional', 'office', 'branch', 'division', 'memo', 'intended', 'read', 'acted', 'upon', 'executive', 'branch', 'manager', 'supervisor', 'staff', 'member', 'addressed', 'however', 'sangguniang', 'panlalawigan', 'office', 'still', 'managing', 'memorandum', 'manually', 'memorandum', 'ranking', 'management', 'system', 'ds', 'tool', 'sangguniang', 'panlalawigan', 'developed', 'using', 'microsoft', 'visual', 'web', 'developer', 'determine', 'priority', 'memorandum', 'microsoft', 'sql', 'server', 'management', 'studio', 'express', 'database', 'attained', 'using', 'decision', 'support', 'system', 'carry', 'rule', 'prioritizing', 'memorandum', 'keywords', 'ds', 'rule', 'based', 'system', 'ranking']"
"['webbased', 'student', 'subject', 'evaluation', 'system']","['project', 'designed', 'create', 'computerbased', 'student', 'subject', 'evaluation', 'system', 'northern', 'mindanao', 'institute', 'science', 'technology', 'new', 'system', 'address', 'longtime', 'problem', 'hazzle', 'delay', 'enrollment', 'evaluation', 'subject', 'student', 'automated', 'system', 'voluminous', 'work', 'student', 'record', 'made', 'easy', 'fast', 'resulted', 'saving', 'labor', 'time', 'consequently', 'high', 'work', 'efficiency', 'new', 'system', 'capable', 'displaying', 'different', 'form', 'subject', 'evaluation', 'report', 'student', 'subject', 'course', 'curriculum', 'subject', 'prerequisite', 'subject', 'already', 'taken', 'passed', 'subject', 'grade', 'failing', 'grade', 'inc', 'incomplete', 'grade', 'drop', 'subject', 'dropped', 'subject', 'allowed', 'student', 'taken', 'next', 'semester', 'subject', 'previously', 'enrolled', 'student', 'elective', 'subject', 'curriculum', 'suppose', 'enroll', 'automate', 'student', 'subject', 'evaluation', 'system', 'following', 'used', 'macromedia', 'dreamweaver', 'mx', 'building', 'system', 'web', 'site', 'php', 'version', 'general', 'scripting', 'language', 'especially', 'suited', 'web', 'development', 'mysql', 'version', 'alpha', 'storing', 'multiple', 'record', 'apache', 'http', 'server', 'finally', 'connecting', 'server', 'project', 'show', 'automated', 'student', 'subject', 'evaluation', 'system', 'accelerates', 'process', 'encoding', 'storing', 'retrieving', 'student', 'record', 'thus', 'make', 'system', 'fast', 'efficient']"
"['computerization', 'entrance', 'exam', 'guidance', 'office']","['guidance', 'office', 'researcher', 'conducted', 'specifically', 'admitting', 'student', 'project', 'conducted', 'month', 'july', 'ended', 'month', 'december', 'conducted', 'series', 'interview', 'gathering', 'fact', 'order', 'complete', 'grasp', 'system', 'strategy', 'conducted', 'found', 'guidance', 'office', 'northern', 'mindanao', 'institute', 'science', 'technology', 'sole', 'entity', 'responsible', 'admission', 'student', 'theyre', 'giving', 'entrance', 'examination', 'student', 'crave', 'admitted', 'order', 'student', 'able', 'take', 'entrance', 'examination', 'comply', 'first', 'requirement', 'pay', 'entrance', 'examination', 'fee', 'take', 'examination', 'assigned', 'schedule', 'inquire', 'week', 'two', 'process', 'thoroughly', 'checking', 'answer', 'sheet', 'since', 'guidance', 'office', 'clerk', 'check', 'paper', 'one', 'one', 'current', 'system', 'entrance', 'examination', 'solely', 'manual', 'labor', 'thorough', 'studying', 'current', 'system', 'entrance', 'examination', 'determining', 'drawback', 'current', 'system', 'guidance', 'office', 'admitting', 'student', 'superseded', 'computerized', 'admission', 'system', 'entrance', 'examination', 'computerized', 'fact', 'provide', 'fast', 'reliable', 'service', 'proposed', 'system', 'student', 'take', 'exam', 'exam', 'automatically', 'check', 'need', 'wait', 'long', 'period', 'time', 'also', 'computerized', 'system', 'would', 'advantage', 'guidance', 'clerk', 'task', 'lightened', 'also', 'proposal', 'repository', 'safer', 'existing', 'one', 'kept', 'database']"
"['system', 'design', 'unified', 'tvet', 'program', 'registration', 'management']","['system', 'design', 'unified', 'tvet', 'program', 'registration', 'management', 'system', 'utprms', 'developed', 'gmerate', 'create', 'update', 'client', 'store', 'information', 'categorize', 'management', 'access', 'ease', 'manage', 'system', 'functionality', 'generate', 'information', 'system', 'design', 'used', 'manage', 'client', 'record', 'past', 'present', 'meant', 'provide', 'administration', 'staff', 'information', 'realtime', 'make', 'work', 'interesting', 'le', 'stressing', 'serf', 'key', 'factor', 'flow', 'business', 'transaction', 'tesda', 'provincial', 'office', 'project', 'aimed', 'computerizing', 'record', 'client', 'order', 'achieve', 'goal', 'thorough', 'system', 'soudy', 'investigation', 'carried', 'collected', 'analysed', 'current', 'system', 'using', 'document', 'flow', 'diagram', 'concept', 'report', 'production', 'computerized', 'hence', 'delay', 'report', 'generation', 'tesda', 'administrator', 'used', 'develop', 'system', 'include', 'unified', 'modelling', 'languageuml', 'dataflow', 'context', 'use', 'entity', 'relationship', 'diagram', 'used', 'design', 'system', 'finally', 'language', 'used', 'mysql', 'visual', 'basic', 'keywords', 'tvet', 'uml', 'mysql', 'utpras', 'unified']"
"['microfinance', 'collection', 'monitoring', 'system', 'client', 'mapping', 'android', 'application']","['system', 'eliminate', 'reduce', 'risk', 'misappropriate', 'use', 'fund', 'fraud', 'microfinance', 'industry', 'map', 'client', 'according', 'actual', 'address', 'qr', 'code', 'one', 'barcode', 'store', 'provide', 'unique', 'identity', 'android', 'phone', 'one', 'low', 'cost', 'barcode', 'reader', 'use', 'today', 'google', 'map', 'open', 'source', 'display', 'map', 'website', 'using', 'google', 'map', 'application', 'programming', 'interface', 'api', 'zxing', 'library', 'useful', 'make', 'qr', 'code', 'reader', 'using', 'camera', 'android', 'phone', 'coded', 'java', 'parsing', 'android', 'phone', 'existing', 'database', 'vice', 'versa', 'via', 'wlan', 'using', 'php', 'json', 'file', 'important', 'synchronize', 'use', 'html', 'xml', 'javascript', 'google', 'map', 'api', 'create', 'dynamic', 'client', 'location', 'map', 'make', 'application', 'android', 'get', 'realtime', 'client', 'map', 'useful', 'management', 'microfinance', 'industry', 'make', 'efficient', 'monitoring', 'collection', 'keywords', 'qr', 'code', 'google', 'map', 'api', 'zxing', 'json']"
"['abacada', 'diagnostic', 'agent', 'pest', 'management']","['abaca', 'country', 'premier', 'fiber', 'known', 'worldwide', 'manila', 'hemp', 'come', 'long', 'way', 'humble', 'beginning', 'raw', 'material', 'ancestor', 'coarse', 'stiff', 'clothing', 'well', 'footwear', 'hence', 'abaca', 'fiber', 'continues', 'give', 'big', 'earnings', 'philippine', 'make', 'country', 'known', 'worldwide', 'abaca', 'plant', 'experienced', 'lot', 'attack', 'presence', 'disease', 'insect', 'pest', 'thing', 'contribute', 'give', 'lesser', 'yield', 'abaca', 'industry', 'help', 'technician', 'abaca', 'expert', 'prevalence', 'disease', 'insect', 'pest', 'minimized', 'hand', 'abaca', 'expert', 'always', 'available', 'referred', 'system', 'identify', 'abaca', 'disease', 'insect', 'pest', 'weed', 'time', 'give', 'recommendation', 'proper', 'management', 'help', 'raise', 'production', 'abaca', 'present', 'integration', 'involving', 'artificial', 'intelligence', 'predicate', 'logic', 'production', 'rule', 'agricultural', 'analysis', 'identify', 'abaca', 'disease', 'insect', 'pest', 'weed', 'use', 'exsys', 'corvid', 'corresponding', 'selected', 'biophysical', 'characteristic', 'converted', 'rule', 'inputted', 'logic', 'block', 'command', 'block', 'contains', 'procedural', 'command', 'tell', 'inference', 'engine', 'use', 'inputted', 'valuable', 'abaca', 'grower', 'agriculture', 'forestry', 'sector', 'student', 'researcher', 'agricultural', 'technologist', 'farmer', 'student', 'individual', 'may', 'use', 'practicable', 'information', 'diagnosing', 'feature', 'expert', 'system', 'order', 'gain', 'knowledge', 'apply', 'management', 'create', 'better', 'abaca', 'production', 'using', 'weighted', 'mean', 'formula', 'test', 'system', 'efficacy', 'sufficiency', 'software', 'environment', 'prospect', 'user', 'show', 'grand', 'mean', 'good', 'verbal', 'description', 'fall', 'within', 'range', 'translated', 'good', 'perception', 'respondent', 'system', 'keywords', 'artificial', 'intelligence', 'expert', 'system', 'inference', 'engine', 'manila', 'hemp']"
