Title,Abstract
A CASE STUDY OF DRIVER'S LICENSE PROCESSES ON LAND TRANSPORTATION OFFICE,"A Case Study on Driver's License Processes was studied to understand how the processes on Driver's License is done. Student's Permit, Non-Professional and Professional License, and Renewal of License are the transaction that has been studied. Data Sampling was used as methodology which consist of data gathering, and data analysis. In total based on the analysis and the results of the data gathered are presented by the graphs, and tables. Results of the conducted survey tells the researchers that it needs an improvement. Keywords: Land Transportation Office, Student Permit, Renewal, Non- Professional and Professional Driver's License."
A CASE STUDY ON POULTRY EGG PRODUCTION BUSINESS,"A Case Study on Poultry Egg Production Business was studied to help the egg producer in their business process especially in financial aspects. Features of the study and the blueprint of decision support system include technical, financial management and socio economic aspects data, context diagram and blueprint of the system. Iterative life cycle model was used as methodology which consists of; data gathering; data analysis; design; market survey. In total based on the analysis and the results of the data gathered, setting up a poultry egg production business and the design of decision support system is positive. The current manual system of the industry must be upgraded to meet the demands of their growing business market."
DESIGN AND DEVELOPMENT OF A FIRE DETECTION AND ALARM SYSTEM PROTOTYPE BASED ON A WIRELESS SENSOR NETWORK,"A fire detection and alarm system prototype based on wireless sensor network is an advanced technology monitoring system that detects fire. A UHF Data Transceiver will transmit data or a message from the sensors to the server. Temperature sensor LM35 and smoke sensor HIS-07 were used in detecting fires; it would sound an alarm if there was a fire detected by the sensors. Using Gizduino Mini Plus Microcontroller, the message was interpreted using the UHF Data Transceiver and transmitted to the server or the base station to pass the information from the node. The server or the monitoring station was placed near the security guards. The researchers also used a GSM/GPRS Shield. The purpose of the GSM/GPRS Shield was to inform the university personnel who were in charge of that building. They would receive a text message by using the GSM. The Raspberry Pi B+ was about the size of a credit card and had a 32-bit ARM processor. It was used to collect data from the three nodes which the Gizduino Mini Plus Microcontroller interpreted. The raspberry pi displayed the output by using the LCD Monitor, and it also indicated in the LCD Monitor which node detected the fire. Keywords: UHF Data Transceiver, Raspberry pi"
"A KNOWLEDGE-BASED SYSTEM N MATCHING TREE, PLANT AND LEGUMES ON MINERAL-BEARING SITE","A Knowledge-Based System on Matching of Tree, Plant and Legumes on Mineral-Bearing Site is a web-based expert system designed to find suitable species for the reclamation of the mining wastelands. This system is capable of recommending species that would help in the restoration/rehabilitation of the particular site based on its biophysical characteristics; altitude, temperature, rainfall, soil texture/type/characteristics and soil pH. The selected species used in this study is based on A Research Compendium for Mining and Volcanic Debris-Laden Areas, a research study of the Department of Environment and Natural Resources (DENR) that has been developed to serve as a sound and thorough basis for selection of appropriate, effective and efficient strategies for the restoration of damaged mining and volcanic ash-laden areas of the country. Though it handles very complex data, the application is simple enough so that end users can run the program and perform sensitivity analysis with minimum training time. This system displays customized screens, allows interface calls to external programs, and has an explanation facility to assist the system user. In terms of usability and impact assessment, this system is acceptable as perceived by the respondents during software testing and evaluation and they find it useful and easy to use. It gained a grand mean of 4.53 that indicates an excellent verbal interpretation. Keywords: Knowledge-Based System, Formulation of Model Design for System Testing."
DESIGN AND DEVELOPMENT OF MEMORANDUM PRIORITIZATION SYSTEM A DSS TOOL FOR SANGGUNIANG PANLALAWIGAN MANAGEMENT,"A memorandum is a means of inter-office correspondence. In large organizations, memorandums are sent from head office to regional offices, branches, divisions and so on. Memos are intended to be read and acted upon by executives, branch managers, supervisors and all staff members as and when they are addressed to them. However, the Sangguniang Panlalawigan office is still managing the memorandums manually. The Memorandum Ranking Management system a DSS tool for Sangguniang Panlalawigan was developed using Microsoft Visual Web Developer 2005 to determine the priority of memorandum and Microsoft SQL Server Management Studio Express as database. The study is attained using the Decision support systems which carry out the rules for prioritizing memorandums Keywords: DSS, Rule Based System, Ranking"
WEB-BASED STUDENT SUBJECT EVALUATION SYSTEM FOR NORMISIST,"A project was designed to create a computer-based student subject evaluation system for the Northern Mindanao State Institute of Science and Technology. This new system addresses the long-time problem of hazzle and delay in the enrollment and evaluation of subjects of students. Because of its automated system, the voluminous works in student's record were made easy and fast which resulted to savings in labor and time and consequently a high work efficiency. This new system is capable of displaying the different forms of subject evaluation report of the students such as subjects in a course curriculum, subjects that have prerequisite, subjects that were already taken and passed, subjects that have a grade of 5.00 or failing grade, INC or Incomplete Grade, DROP or subjects that have been dropped, subjects that were allowed to the student to be taken in the next semester, subjects that were previously enrolled by a student, and all the electives subjects in a curriculum that they are suppose to enroll. To automate the student's subject evaluation system, the following were used: Macromedia Dreamweaver MX 2004 for building the system web site, PHP Version 4 for general scripting language that is especially suited for web development, MySQL Version 5.0.0 alpha for storing multiple records, and Apache HTTP Server for finally connecting to the server. Results of the project show that automated student's subject evaluation system accelerates the processes of encoding, storing and retrieving student's records. Thus makes the system fast and efficient."
COMPUTERIZATION OF ENTRANCE EXAM OF NORMISIST GUIDANCE OFFICE,"a study on the Guidance Office of The researcher conducted a study on NORMISIST specifically in their method of admitting students. This project was conducted on the month of July 2003 and ended on the month of December 2003. Conducted a series of interviews, data gathering & fact finding in order to have a complete grasp with their system. After all the strategy been conducted, it is found out that the Guidance Office of Northern Mindanao State Institute of Science and Technology, is the sole entity that is responsible for the admission of its students. They're giving out entrance examination to students who crave to be admitted. In order for the student to be able to take the entrance examination, they have to comply first the requirements. They have to pay the entrance examination fee, and take the examination on the assigned schedule. They can inquire for their result after a week or two. The process of thoroughly checking the answer sheets since the Guidance Office clerk checks the papers one by one. The current system of Entrance Examination is solely on manual labor. After thorough studying with the current system of Entrance Examination and determining it's drawback, the current system of the Guidance Office in admitting student will be superseded with a computerized admission system. Entrance Examination is computerized for the fact that computers provide fast & reliable services. With this proposed system, the student will take the exam on computers, and after the exam, the computer will automatically check for the result. They need not to wait for a long period of time before they can have their result. Also the Computerized system would be an advantage on the Guidance clerk, because the task is being lightened. Also, with this proposal, the repository of the data is safer than the existing one. All the data will be kept in a database."
A SYSTEM DESIGN FOR UNIFIED TVET PROGRAM REGISTRATION MANAGEMENT,"A System Design for Unified TVET Programs Registration Management System (UTPRMS) is developed to gmerate, create and to update the data of the clients, store information and categorize data that the management can access with ease, manage the system functionalities, and can generate information. It is a system design used to manage client's records from past to presents. It is meant to provide the Administration and Staff, with information in real-time to make their work more interesting and less stressing which serves as a key factor for the flow of business transactions in TESDA Provincial Office Butuan City. This research project is aimed at computerizing the records about clients. In order to achieve this goal, a thorough System Soudy and investigation was carried out and data was collected and analysed about the current system using document and data flow diagrams. The concept of report production has been computerized hence, no more delay in report generation to the TESDA administrator. The method used to develop the system include Unified Modelling Language(UML), dataflow, context, Use Case and entity relationship diagram were used to design the system and finally the language used were MySql and Visual Basic 6.0. Keywords: TVET, UML, MySQL, UTPRAS, Unified"
MICROFINANCE COLLECTION MONITORING SYSTEM AND CLIENT MAPPING WITH ANDROID APPLICATION,"A system that can eliminate if not to reduce risk in misappropriate use of funds and fraud to the microfinance industry and map their client according to their actual addresses. The QR Code is one of barcode that can store data and provide the unique identity, android phone is one of low cost barcode reader use today and Google Map the open source that can display maps on your own website by using Google Map Application Programming Interface (API). The ZXING library is useful for make a QR Code reader using the camera of the android phone coded by JAVA, parsing the data from android phone to existing database and vice versa via WLAN using PHP and JSON files is very important to synchronize the data and by the use of HTML, XML, JavaScript and Google Map API to create a dynamic client location map. To make an application to the android to get the data in real-time of the client and map them is very useful to the management of microfinance industry to make an efficient monitoring of their collections. Keywords: QR Code, Google Map API, ZXING, JSON"
ABACADA DIAGNOSTIC AGENT IN PEST MANAGEMENT,"Abaca, the country's premier fiber and known worldwide as Manila hemp, has come a long way from its humble beginning as raw material for our ancestors' coarse and stiff clothing as well as footwear. Hence, abaca fiber continues to give big earnings in the Philippines that make the country known worldwide, abaca plant itself experienced lots of attacks with the presence of diseases and insect pests. These things contribute to give lesser yield in the abaca industry. With the help of technicians and abaca experts, prevalence of diseases and insect pests can be minimized. On the other hand, abaca experts are not always available to be referred. Through the system which can identify abaca diseases, insect pests and weeds and the same time gives recommendation for proper management it can help raise the production of abaca. This research presents an integration approach involving Artificial Intelligence, Predicate Logic, Production Rules and agricultural analysis to identify abaca diseases, insect pests and weeds. With the use of Exsys Corvid, data of each case, with its corresponding selected bio-physical characteristics were converted into then rules and inputted in a logic block. The command block contains procedural commands that tell the inference engine how to use the inputted data. The results of this research are very valuable to abaca growers, agriculture and forestry sectors, students and researchers. Agricultural technologists, farmers, students or any individual may use the practicable information and diagnosing feature of this expert system in order to gain knowledge and apply management to create better abaca production. Using the weighted mean formula to test the system's efficacy. sufficiency and software environment to its prospect users, results show that a grand mean of 2.50 which has a ""Good"" verbal description and falls within the range of 1.51- 2.50, can be translated as good perception of respondents for the system. Keywords: Artificial Intelligence, Expert System, Inference Engine, Manila hemp"
WEB-BASED SCHOLARSHIP FINDER IN CARAGA STATE UNIVERSITY,"According to a study, many of the Filipino's viewed education as a privilege- that only the fortunate ones can go to school especially to higher education. As an aid, various non-government and government organizations provide scholarships to deserving students. The Web-Based Scholarship Finder provide a system that will suggest a match of a scholarship to a student of Caraga State University based on the requirements set by the providers. The system allows the Student Scholarship and Financial Assistance Unit (SSFAU) office to automatically post the information of the scholarship available. The system was developed and implemented using JavaScript (jQuery), CSS (BootStrap) and HTML for the graphical user interface, PHP for the system, Apache and MySQL for the database. Survey results show the importance of the system to the students. Keywords: Web-based, Scholarship Provider, PHP"
AGRICULTURAL COMPREHENSIVE ASSESSMENT OF LANDSCAPE AND MODELING FOR SUITANABILITY ANALYSIS AND FORECASTING EVENTS (CALM-SAFE AGRICULTURE) PROGRAM: DESIGN AND DEVELOPMENT OF AN AGRICULTURAL CALM-SAFE DECISION SUPPORT SYSTEM (DSS) PLATFORM,"Agricultural modernization is an important aspect. The Agricultural CALM-SAFE Decision Support System (DSS) Platform was designed to find valuable in planning. decision-making and management of the resources most importantly in the agricultural sector within Caraga region. The system is connected to the database where all data gathered by the first objective which is to acquire data from the sensor and will be managed It will incorporate an information about insects if farmers want to know more about it. To help the farmers in decision making on how much pesticides a farmer will apply to their rice fields, the system will also give a recommendation on pesticides based on the detected insects in the rice field. This will help the farmers in controlling the over usage of pesticides that can damage the nearby water network and land. Keywords: Farm, Insect pest, Pesticides, Decision Support System, Pest Control"
PLANNING AND DESIGNING AGROFORESTRY SYSTEM IN CARAGA REGION,"Agroforestry is a land use management system in which trees or shrubs are grown around of among crops or pastureland. It combines shrubs and tree in agricultural and forestry technologies to create more diverse, productive, profitable, healthy, and sustainable land use-system. The Land Capability Assessment and Mapping of an area is one of the requirements to achieve best possible utilization of a farming land resource for sustainable agricultural production. The productivity of the crops and trees corresponds to the bio- physicals of the land and its sustainability and the technical skills and capabilities of the farmer's. However, the manual and normal process in assessing land capability and locating its area suitability takes more time to do and is not easy for the land-use officials, farmers and individuals. This study aims to develop an Automated Agroforestry System in Caraga Region that will assist agricultural sectors in agricultural productions. The Land Capability Assessment will ease the dissemination of information on the lands bio-physical data and recommends crops that is suited to be planted in a specific area in Caraga Region. The application of Information Technology helps in automating the system. With the use of Xampp and PHP, data of the selected crop and forest tree species, with its corresponding selected bio-physical characteristics such as altitude (elevation), soil type, temperature, and rainfall requirements are manipulated for assessing land capability. And with the use of Google Fusion, identifying crop suitability in a specific area can be easily located. Furthermore, software reliability check has been conducted to know the accuracy of the system Keywords: Xampp, PHP, Google Fusion"
A WEB-BASED FORECASTING TOOL FOR MEASURING THE PH AND FECAL COLIFORM LEVEL OF CHOSEN BEACHES IN AGUSAN DEL NORTE,"Agusan del Norte is a province where you can find beautiful place for recreation like beaches. Clean beach is one of the factors that the tourists must consider first before going but there are also some beaches which have found to have a higher level of pH and fecal coliform. The higher the level of fecal coliform gives disadvantages to human health like typhoid fever, viral and bacterial gastroenteritis and hepatitis A. Also with pil the higher the level the sooner the beaches will not be suitable for any human recreational activities and marine life will not survive as well. With this, a Web-Based Forecasting Tool for Measuring ph and fecal coliform level was developed in order to show to the public the forecasted amount of these two elements found in the beaches in Agusan del Norte. The researchers used the Exponential Method to measure the level of pH and fecal coliform for the next month and Time Series Method for measuring the levels five years from the given data. Keywords: pH, Fecal Coliform, Forecasting System"
RECRUITMENT AND SELECTION SYSTEM USING CLASSIFICATION DATA MINING TECHNIQUE,"Among the challenges that a growing agency or organization faces in human resource management is evaluating and screening the pool of applicants and selecting the most suitable and deserving candidates to fill the vacant positions. This study explored historical data and classification data mining techniques to address the problem. Information technology was exploited to meet its objectives and implement its strategies. The Recruitment and Selection System using data mining technique is a system that collects data from applicants through an internet-based interface, automatically computes scores on every hiring criterion and then classifies the applicants using an artificial neural network model. The model correctly classified instances with an accuracy rate of 88.61%, and the system was able to output the long list, shortlist and finally, the list of applicants for selection in the prescribed report template for the head of the agency as a support for decision-making. This study aids in the enhancement of the existing human resource processes and provides essential support and assistance to the selection committee and head of the agency in making well-grounded, fair, and consistent decisions. Keywords: Data Mining, neural network, recruitment, selection, classifiers"
AN AUTOMATED IDENTIFICATION OF TREE SPECIES IN CARAGA STATE UNIVERSITY,"An automated identification of tree species was developed to help identify the most common trees in Caraga State University. It was possible to identify tree by looking at their leaves. However, in most cases, it was possible to make an identification using just a few features of the leaves. The automation was based on morphological characteristics such as leaf arrangement, as of composition, shape, margin, base, apex, surface, and venation within CSU campus. The expert system used photographs to identify its morphological characteristics. After identifying a tree in an expert system, it would visualize the location of the identified tree by using GIS mapping. The use of computers in modern day research has helped to overcome the routine identification. It then becomes imperative to attempt the use of computer in identifying various species of trees. This Automated Mentification of Tree Species in Caraga State University (AITSCSU) integrates expert system and GIS mapping using EXSYS Corvid as knowledge expert system shell and GeoServer for GIS. This would guide the user in a step by step approach to accomplish the task of identifying and locating tree species in CSU. Find a tree in your natural environment, collect a leaf and answer the tree identification questions in an expert system. After the question interview was complete. you should be able to identify a tree's name by its common name. You can also visualize the location of a tree through GIS map. Keywords: Identification, Expert System, GIS"
