title,abstract
"PEMBUATAN VIDEO MOTION GRAPHIC TENTANG PERSALINAN
SEHAT PADA PUSKESMAS DEPOK 3 YOGYAKARTA","Animasi 2D, Persalinan Sehat,  2D, Motion graphic, Puskesmas, 2D animation, healthy labor,"
"PEMANFAATAN 3D LAYER DAN EXPRESSIONS UNTUK PROSES
ANIMASI KEPALA KARAKTER DENGAN MENGGUNAKAN 
SOFTWARE ADOBE AFTER EFFECTS","3D Layer, expressions, 2D, Kepala, Adobe After Effects,"
"PEMBUATAN FILM ANIMASI 2D “IMAGINE”
DENGAN TEKNIK FRAME BY FRAME","animasi 2D, teknik frame by frame, teknik computational, 2D Animation, frame by frame technique, computational technique"
"PENERAPAN METODE INVERS KINEMATIK DENGAN TEKNOLOGI
DUIK UNTUK PENGGERAKAN KARAKTER ANIMASI 2D
MENGGUNAKAN ADOBE AFTER EFFECT","Duik, invers kinematik, animasi 2D, non-humanoid, Adobe After
Effects"
"PEMBUATAN ANIMASI  PEMBELAJARAN METAMORFOSIS KUPU-KUPU
DENGAN
TEKNIK
FRAME
BY
FRAME
DI SD NEGERI
2
GONDANG
TRENGGALEK","Animasi, Metamorfosis Kupu-kupu, SD Negeri 2 Gondang, Frame
by frame"
"PERANCANGAN FILM ANIMASI 2D DENGAN TEKNIK FRAME BY
FRAME BERJUDUL ”KESATRIA SUBUH”","animasi 2D, teknik frame  by frame, teknik computational"
"PEMBUATAN VIDEO KONTEN ANIMASI NOMINASI MUSIC VIDEO ACARA BOIM ""BATTLE OF INDIE MULTIMEDIA"" 2020 PRODI TEKNOLOGI INFORMASI UNIVERSITAS AMIKOM YOGYAKARTA MENGGUNAKAN TEKNIK FRAME BY FRAME","Frame by frame, video, BOIM, Visual Maker."
"PERANCANGAN SCENE ANIMASI 2D UNTUK
MENGHASILKAN VISUAL SLOW MOTION","Animasi 2D, Slow Motion, Parallax, Shape Tween, Frame by
frame."
"PERANCANGAN DAN PEMBUATAN ANIMASI 2D 
“THE LITTLE CLAW’S HOPE”","animasi, teknik frame by frame , film"
"PEMBUATAN ANIMASI 2D CERITA RAKYAT “GUNUNG BATU
BANGKAI” UNTUK MEDIA PEMBELAJARAN SISWA
KELAS 6 SDN KOWANGBINANGUN","Media Pembelajaran,SDN Kowangbinangun, Frame by frame"
"PERANCANGAN FILM ANIMASI 2D “LITTLE DRACULA”
MENGGUNAKAN METODE FRAME BY FRAME","Film animasi 2D, Frame by frame, Little Dracula"
"PERANCANGAN ANIMASI 2D “TELEKINESIS” MENGGUNAKAN
TEKNIK FRAME BY FRAME","animasi, 2d, frame by frame, telekinesis."
"IMPLEMENTASI TEKNIK RIGGING PADA PEMBUATAN FILM
KARTUN 2D ""KADO""","Animasi, film, rigging, key frame, dan  frame by frame"
"PEMBUATAN DAN PERANCANGAN FILM ANIMASI 2D “DREAM”
MENGGUNAKAN TEKNIK FRAME BY FRAME","Animasi, Frame by Frame, Film"
"PEMBUATAN ANIMASI 2D “CHANCE” DENGAN TEKNIK FRAME BY
FRAME","Animasi, 2D, Frame By Frame"
"PERANCANGAN DAN PEMBUATAN FILM ANIMASI 2D BERJUDUL
""HARDWORK AND DREAM "" DENGAN MENGGUNAKAN TEKNIK
FRAME BY FRAME","Pancasila, video, animasi 2D, frame by frame"
"ANALISIS TEKNIK FRAME BY FRAME DALAM 
PEMBUATAN FILM ANIMASI PENDEK 2D “I AM”","Film, 2D Animasi, Clip Studio Paint, Adobe After Effects, Teknik
Frame By Frame."
"PERANCANGAN FILM KARTUN 2D LEGENDA INDONESIA  
“RORO JONGGRANG”","Perancangan film kartun 2D, Legenda Indonesia, Teknik frame by frame, 2D cartoon film design, Indonesian legends, frame by frame 
technique."
ANIMASI 2D “ MENJAGA LINGKUNGAN DARI SAMPAH “,"Media Pembelajaram, sampah, Frame by frame"
"PENERAPAN TEKNIK MOTION CAPTURE SEBAGAI PENGGERAK
EKSPRESI WAJAH DALAM PEMBUATAN ANIMASI KARAKTER 2D","Animasi, Motion Capture, Animator, Video"
"PEMBUATAN FILM KARTUN PENDEK 2D “ARCHANGEL MICHAEL”
MENGGUNAKAN TEKNIK ANIMASI 
FRAME BY FRAME","Animasi 2D, frame by frame, Archangel Michael, film kartun"
"PERANCANGAN ANIMASI 2 DIMENSI BERJUDUL USAHA YANG
TIDAK SIA-SIA DENGAN TEKNIK FRAME BY FRAME","Animasi 2D, Film Pendek, Frame by Frame, Usaha yang tidak
sia-sia"
"MEDIA SOSIALISASI DAMPAK PEMANASAN GLOBAL TERHADAP
LINGKUNGAN DALAM ANIMASI 2D BERJUDUL “HELLO OUR
EARTH” DENGAN MENGGUNAKAN
TEKNIK FRAME BY FRAME","pemanasan global, animasi 2D, media sosialisasi, teknik
frame by frame"
"PEMBUATAN ANIMASI 2D  MENGENAI DEMAM BERDARAH DAN
CARA MENANGANINYA DENGAN TEKNIK FRAME BY FRAME","media penyuluhan, informasi kesehatan, animasi 2D, frame by
frame, perancangan, kesehatan, health information, 2D animation, healthness"
"PEMBUATAN ANIMASI 2D TENTANG DAMPAK PENGGUNAAN
PLASTIK DI KELURAHAN KUJON","Animasi 2D, Kelurahan Kujon, Frame by frame"
"ANALISIS PENGARUH VARIASI SERANGAN DISTRIBUTED DENIAL
OF SERVICE (DDOS) PADA PERFORMA ROUTER","Router, DDos, Server"
"IMPLEMENTASI FRAMEWORK MITM UNTUK MEMANTAU
AKTIFITAS PENGGUNA DALAM SATU JARINGAN
MENGGUNAKAN KALI LINUX","Man in the middle, MITM, Sniffing, MITMF"
"IMPLEMENTASI SISTEM KEAMANAN JARINGAN BERBASIS SNORT 
PADA ASRAMA MAHASISWA BENUO TAKA YOGYAKARTA","Snort, PPDIOO, IPfire, Intrusion Detection System, Intrusion
Prevention System, Bot Telegram, URL Filter, Notification, Guardian"
"RANCANG BANGUN SISTEM MONITORING KEAMANAN JARINGAN
MENGGUNAKAN IDS SNORT DENGAN BOT TELEGRAM 
DI LINUX UBUNTU 16.04 LTS 1","Intrusion Detection System, Linux Ubuntu 16.04 LTS, IDS,
Snort, Telegram"
"ANALISIS DETEKSI SERANGAN PADA VIRTUAL PRIVATE SERVER
(VPS)","VPS (Virtual Private Server) , Port Scanning, Snort, IDS
(Intrusion Detectioin System)"
"PERANCANGAN SISTEM MONITORING KEAMANAN JARINGAN
MENGGUNAKAN SNORT DAN NOTIFIKASI TELEGRAM
Studi Kasus: SMK NEGERI 1 DEPOK","Intrusion Detection System, Snort, Telegram"
"APLIKASI NOTIFIKASI ALERT INTRUSION DETECTION SYSTEM
(IDS) PADA EMAIL UNTUK REPORTING KEAMANAN JARINGAN
(Studi Kasus : Wisma Gunung Merah)","Keamanan Jaringan, IDS, Firewall, Mikrotik, Monitoring, Email"
